"Reference","Value","Footprint","Digikey","Qty"
"C1, C3, C7, C9, C10, C13, C14","100n","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","490-10700-1-ND","7"
"C2, C4, C6, C8, C11, C12","22u","Capacitor_SMD:C_0805_2012Metric","1276-2910-1-ND","6"
"C5","4u7","Capacitor_SMD:C_0805_2012Metric","1276-6464-1-ND","1"
"C15","1000u/25V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","732-8835-1-ND","1"
"C16","4u7","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1276-6464-1-ND","1"
"D1","LED_RGBA","LED_SMD:LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100","732-4998-1-ND","1"
"D2","LL4148","Diode_SMD:D_MiniMELF","4878-LL4148CT-ND ","1"
"D3","YELLOW","LED_SMD:LED_0603_1608Metric","732-4981-1-ND","1"
"D4","GREEN","LED_SMD:LED_0603_1608Metric","732-4980-1-ND","1"
"F1","Polyfuse 1A","Fuse:Fuse_1206_3216Metric","F3371CT-ND","1"
"F3","Fuse","00_morten_Library:FUSE_696105003002","732-11373-ND","1"
"FB1","BLM21PG221","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","490-1054-1-ND","1"
"H1-H4","Hole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","N/A","4"
"J1","Conn_01x04","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","455-SM04B-SRSS-TBCT-ND","1"
"J2","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","LCSC : Korean Hroparts Elec TYPE-C-31-M-12","1"
"J3","Screw_Terminal_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal","732-10996-ND","1"
"J4","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","732-691253510002-ND","1"
"J5","Screw_Terminal_01x08","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal","732-691244510008-ND","1"
"J6","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","Standard Pins 2x5 0.254","1"
"K1","RT314A05","Relay_THT:Relay_SPDT_Schrack-RT1-16A-FormC_RM5mm","PB1695-ND","1"
"Q2","UMH3N","Package_TO_SOT_SMD:SOT-363_SC-70-6","UMH3NFHATNCT-ND ","1"
"Q3","BC817","Package_TO_SOT_SMD:SOT-23","BC817-40-TPMSCT-ND","1"
"R1, R6, R12, R14","10K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","311-10.0KLRCT-ND","4"
"R2, R3","5K1","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","311-5.10KLRCT-ND","2"
"R4, R5","4K7","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","311-4.7KLRCT-ND","2"
"R7, R8","22R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","311-22.0LRCT-ND","2"
"R9-R11, R13, R15, R16","1K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","311-1.00KLRCT-ND","6"
"R17-R20","47R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","311-47.0LRCT-ND","4"
"SW1","SW_SPST","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","679-2380-1-ND","1"
"U1","ESP32-WROOM-32D","RF_Module:ESP32-WROOM-32D","1965-ESP32-WROOM-32E-N4CT-ND","1"
"U2","USBLC6-2P6","Package_TO_SOT_SMD:SOT-666","497-5026-1-ND","1"
"U3","Si7021-A20","Package_DFN_QFN:DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm","336-4380-1-ND","1"
"U4","CP2104","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","336-4146-1-ND","1"
"U5","TLV1117LV-33","Package_TO_SOT_SMD:SOT-223-3_TabPin2","296-28778-1-ND","1"
"U6","74AHCT245","Package_DIP:DIP-20_W7.62mm","296-1476-5-ND","1"
