Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",99.665500,-100.090000,180.000000,top
"C2","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",111.922500,-84.600000,0.000000,top
"C3","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",99.665500,-97.790000,180.000000,top
"C4","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",105.000000,-110.937500,-90.000000,top
"C5","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",103.222000,-110.395500,-90.000000,top
"C6","4u7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",107.286000,-110.937500,-90.000000,top
"C7","4u7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.287500,-105.200000,0.000000,top
"C8","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",107.400000,-80.932500,-90.000000,top
"C9","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.600000,-78.100000,90.000000,top
"C10","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.806000,-108.479500,-90.000000,top
"C11","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",112.500000,-77.632500,90.000000,top
"C12","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",100.584000,-108.031000,-90.000000,top
"C13","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.100000,-83.117500,-90.000000,top
"C14","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",92.500000,-85.376000,90.000000,top
"C15","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",94.300000,-78.830000,180.000000,top
"D1","LED_RGBA","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",98.480000,-88.900000,90.000000,top
"D2","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",87.625000,-93.800000,0.000000,top
"D3","YELLOW","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",135.350000,-140.500000,90.000000,top
"D4","LL4148","D_MiniMELF",132.160000,-139.642500,-90.000000,top
"F1","Polyfuse 1A","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",88.000000,-97.410000,180.000000,top
"FB1","BLM21PG221","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",92.900000,-97.410000,180.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",88.000000,-105.410000,-90.000000,top
"J6","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",86.900000,-86.876000,-90.000000,top
"Q1","UMH3N","SOT-363_SC-70-6",118.250000,-104.950000,0.000000,top
"Q2","BC817","SOT-23",133.114000,-133.166000,-90.000000,top
"R1","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",109.390000,-84.600000,0.000000,top
"R2","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",95.400000,-108.810000,-90.000000,top
"R3","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",95.400000,-102.207500,90.000000,top
"R4","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",97.800000,-84.500000,-90.000000,top
"R5","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",99.200000,-84.502500,-90.000000,top
"R6","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",100.600000,-84.497500,-90.000000,top
"R7","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",90.925000,-93.800000,180.000000,top
"R8","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",111.670500,-110.490000,180.000000,top
"R9","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",107.400000,-78.500000,-90.000000,top
"R10","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",130.352500,-99.925000,0.000000,top
"R11","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",130.352500,-101.125000,0.000000,top
"R12","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",134.722500,-137.900000,0.000000,top
"R13","4K7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",93.000000,-82.200000,0.000000,top
"R14","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",135.775000,-130.552500,-90.000000,top
"R15","4K7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",93.000000,-80.700000,0.000000,top
"R16","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",136.372500,-132.252500,0.000000,top
"R17","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",148.402500,-87.630000,0.000000,top
"R18","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",148.402500,-90.170000,0.000000,top
"R19","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",148.402500,-92.710000,0.000000,top
"R20","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",148.402500,-95.250000,0.000000,top
"SW1","SW_SPST","SW_Push_1P1T_NO_6x6mm_H9.5mm",107.400000,-89.200000,180.000000,top
"U1","TLV1117LV-3.3","SOT-223-3_TabPin2",106.528000,-97.790000,0.000000,top
"U2","USBLC6-2P6","SOT-666",96.000000,-105.400000,0.000000,top
"U3","CP2104","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",104.450000,-105.450000,0.000000,top
"U4","ESP32-WROOM-32D","ESP32-WROOM-32D",124.100000,-85.230000,0.000000,top
"U6","Si7021-A20","DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm",98.419000,-78.832000,180.000000,top
